,average_covered_charges,average_medicare_payments,average_total_payments,drg_definition,hospital_referral_region_hrr_description,provider_city,provider_id,provider_name,provider_state,provider_street_address,provider_zip_code,total_discharges
10,559880.71,160979.36,171813.14,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,14
11,370584.05,142424.80,176112.60,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,FLUSHING,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,56-45 MAIN STREET,11355,20
12,317489.55,101667.55,103041.82,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Albany,ALBANY,330057,ST PETER'S HOSPITAL,NY,315 SOUTH MANNING BOULEVARD,12208,11
13,880014.20,172985.38,202348.29,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,55
14,972333.22,237038.23,257397.55,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,114
15,1168187.68,179280.57,239584.68,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,37
16,662202.65,157907.08,165604.08,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330119,LENOX HILL HOSPITAL,NY,100 EAST 77TH STREET,10021,26
17,454754.80,143104.56,153543.80,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Rochester,ROCHESTER,330125,ROCHESTER GENERAL HOSPITAL,NY,1425 PORTLAND AVENUE,14621,25
18,306872.91,116978.00,117877.64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - White Plains,MIDDLETOWN,330126,ORANGE REGIONAL MEDICAL CENTER,NY,707 EAST MAIN STREET,10940,11
19,341474.73,189750.36,215940.09,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Bronx,BRONX,330127,JACOBI MEDICAL CENTER,NY,1400 PELHAM PARKWAY SOUTH,10461,11
20,584100.19,164384.62,182586.71,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Syracuse,SYRACUSE,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,301 PROSPECT AVENUE,13203,21
21,480164.90,146937.20,167114.07,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,STATEN ISLAND,330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,475 SEAVIEW AVENUE,10305,30
22,953557.65,181654.41,189627.94,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,MINEOLA,330167,WINTHROP-UNIVERSITY HOSPITAL,NY,259 FIRST STREET,11501,17
23,601885.65,170757.65,184453.22,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,FIRST AVENUE AT 16TH STREET,10003,23
24,877283.30,149551.43,153545.57,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,ROSLYN,330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,100 PORT WASHINGTON BOULEVARD,11576,30
25,698886.50,183673.10,204140.68,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,50
26,532972.79,150582.43,157034.64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,14
27,520644.25,181730.92,207760.08,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,BROOKLYN,330196,CONEY ISLAND HOSPITAL,NY,2601 OCEAN PARKWAY,11235,12
28,600376.91,147552.00,164988.64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,OCEANSIDE,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,ONE HEALTHY WAY,11572,11
29,829118.44,191651.40,217459.98,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,43
30,232096.11,134949.79,159472.89,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Buffalo,BUFFALO,330219,ERIE COUNTY MEDICAL CENTER,NY,462 GRIDER STREET,14215,19
31,284298.88,168480.13,179612.69,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,BROOKLYN,330233,BROOKDALE HOSPITAL MEDICAL CENTER,NY,1 BROOKDALE PLAZA,11212,16
32,1215589.70,214892.97,241390.11,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - White Plains,VALHALLA,330234,WESTCHESTER MEDICAL CENTER,NY,100 WOODS RD,10595,70
33,408867.90,156781.15,164917.65,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Manhattan,BROOKLYN,330236,NEW YORK METHODIST HOSPITAL,NY,506 SIXTH STREET,11215,20
34,868286.06,227036.94,254548.69,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Syracuse,SYRACUSE,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,750 EAST ADAMS STREET,13210,16
35,459551.36,142781.07,147436.64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Buffalo,BUFFALO,330279,MERCY HOSPITAL OF BUFFALO,NY,565 ABBOTT ROAD,14220,14
36,455931.60,143156.28,181367.32,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,50
37,738451.71,129314.88,151036.29,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,WEST ISLIP,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,1000 MONTAUK HIGHWAY,11795,24
38,691610.54,173915.87,216819.00,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - East Long Island,STONY BROOK,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,HEALTH SCIENCES CENTER SUNY,11794,54
39,201909.93,94166.11,104718.82,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Binghamton,BINGHAMTON,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,10-42 MITCHELL AVENUE,13903,28
40,479467.36,204649.91,228628.64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY - Bronx,BRONX,330399,ST BARNABAS HOSPITAL,NY,4422 THIRD AVENUE,10457,11
41,287763.08,94111.15,102767.92,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,26
42,81904.31,102566.23,108719.31,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Bronx,BRONX,330009,BRONX-LEBANON HOSPITAL CENTER,NY,1276 FULTON AVENUE,10456,13
43,239137.58,62203.58,69374.17,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,12
44,118837.93,81082.21,82268.57,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,2525 KINGS HIGHWAY,11229,14
45,309612.65,81640.24,85781.82,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Albany,POUGHKEEPSIE,330023,VASSAR BROTHERS MEDICAL CENTER,NY,45 READE PLACE,12601,17
46,362254.20,112724.48,126716.68,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,56
47,246944.79,108107.00,116864.74,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,EAST MEADOW,330027,NASSAU UNIVERSITY MEDICAL CENTER,NY,2201 HEMPSTEAD TURNPIKE,11554,19
48,255396.05,89612.92,95730.89,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,STATEN ISLAND,330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,355 BARD AVENUE,10304,37
49,369652.00,101012.92,110321.31,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,13
50,248684.90,94946.56,100051.46,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,FLUSHING,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,56-45 MAIN STREET,11355,41
51,319443.59,108417.71,117120.41,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,121 DEKALB AVENUE,11201,17
52,547516.14,111714.31,132512.31,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,36
53,268823.93,248208.86,258880.36,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Bronx,BRONX,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,234 EAST 149TH STREET,10451,14
54,576744.75,135007.98,151339.25,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,53
55,500859.17,87490.83,88828.00,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ - Hackensack,NYACK,330104,NYACK HOSPITAL,NY,160 NORTH MIDLAND AVENUE,10960,12
56,604227.65,101239.69,133265.31,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,26
57,230184.75,71543.63,83041.44,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Rochester,ROCHESTER,330125,ROCHESTER GENERAL HOSPITAL,NY,1425 PORTLAND AVENUE,14621,16
58,218117.79,64991.36,77236.86,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - White Plains,MIDDLETOWN,330126,ORANGE REGIONAL MEDICAL CENTER,NY,707 EAST MAIN STREET,10940,14
59,310720.25,122697.83,133681.17,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,ELMHURST,330128,ELMHURST HOSPITAL CENTER,NY,79-01 BROADWAY,11373,12
60,480446.06,72989.00,87516.24,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,PATCHOGUE,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NY,101 HOSPITAL ROAD,11772,17
61,304710.00,64328.32,65699.20,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ - Ridgewood,SUFFERN,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,255 LAFAYETTE AVENUE,10901,25
62,291458.80,90033.70,94922.90,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,STATEN ISLAND,330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,475 SEAVIEW AVENUE,10305,20
63,213456.07,82289.07,93363.43,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Rochester,ROCHESTER,330164,HIGHLAND HOSPITAL,NY,1000 SOUTH AVENUE,14620,14
64,475843.35,88920.24,102407.82,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,MINEOLA,330167,WINTHROP-UNIVERSITY HOSPITAL,NY,259 FIRST STREET,11501,17
65,338517.53,93145.05,99829.68,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,NEW YORK,330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,FIRST AVENUE AT 16TH STREET,10003,19
66,549952.82,87834.73,90994.18,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,ROSLYN,330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,100 PORT WASHINGTON BOULEVARD,11576,11
67,231600.53,103114.53,110759.60,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,FLUSHING,330193,FLUSHING HOSPITAL MEDICAL CENTER,NY,45TH AVENUE AND PARSONS BOULEVARD,11355,15
68,475198.79,116129.91,124792.85,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,86
69,452023.69,108292.81,116205.27,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,26
70,295117.57,109352.29,124697.00,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330196,CONEY ISLAND HOSPITAL,NY,2601 OCEAN PARKWAY,11235,14
71,343944.29,80689.52,93898.81,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,OCEANSIDE,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,ONE HEALTHY WAY,11572,21
72,342579.52,89840.48,97458.04,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330201,KINGSBROOK JEWISH MEDICAL CENTER,NY,585 SCHENECTADY AVENUE,11203,23
73,288560.18,124111.27,158409.73,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330202,KINGS COUNTY HOSPITAL CENTER,NY,451 CLARKSON AVENUE,11203,11
74,487981.74,118159.94,128146.00,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,35
75,934157.56,160433.67,176313.50,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - White Plains,VALHALLA,330234,WESTCHESTER MEDICAL CENTER,NY,100 WOODS RD,10595,18
76,180195.00,89601.75,94847.80,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Manhattan,BROOKLYN,330236,NEW YORK METHODIST HOSPITAL,NY,506 SIXTH STREET,11215,20
77,584814.09,146281.55,165614.27,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Syracuse,SYRACUSE,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,750 EAST ADAMS STREET,13210,11
78,309633.55,78823.77,131619.41,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,22
79,465729.64,92910.05,96408.73,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,WEST ISLIP,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,1000 MONTAUK HIGHWAY,11795,22
80,601543.58,129722.63,151464.47,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,STONY BROOK,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,HEALTH SCIENCES CENTER SUNY,11794,19
81,113030.86,48701.14,63169.57,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Binghamton,BINGHAMTON,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,10-42 MITCHELL AVENUE,13903,14
82,238162.00,109789.95,125289.58,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,FAR ROCKAWAY,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,327 BEACH 19TH STREET,11691,19
83,434482.93,81794.07,83207.07,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - East Long Island,SMITHTOWN,330401,ST CATHERINE OF SIENA HOSPITAL,NY,50 ROUTE 25A,11787,14
84,495319.72,103384.04,144753.08,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,25
85,489947.14,108580.86,180892.43,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,14
86,385069.45,78902.91,87212.18,"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,11
87,198794.64,43121.43,53600.14,"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,14
88,112896.70,31696.65,42659.25,"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,20
89,607856.40,148314.12,165067.84,014 - ALLOGENEIC BONE MARROW TRANSPLANT,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,25
90,215140.18,83896.73,103128.09,014 - ALLOGENEIC BONE MARROW TRANSPLANT,NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,11
91,216168.46,59086.96,77608.37,016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,46
92,397323.09,69611.73,79716.73,016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,11
93,305772.08,71994.92,78647.83,016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,12
94,97646.20,43870.68,60255.24,016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,25
95,108819.47,39746.75,41798.58,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,36
96,150070.37,39705.20,43057.17,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,30
97,169642.15,38647.07,39360.56,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Albany,POUGHKEEPSIE,330023,VASSAR BROTHERS MEDICAL CENTER,NY,45 READE PLACE,12601,27
98,240757.76,49705.41,59702.94,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,17
99,254557.47,58647.68,65774.32,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,19
100,266318.72,65336.75,70308.47,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,32
101,220785.60,43717.60,53631.13,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,15
102,135556.36,50846.64,53725.73,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,11
103,99598.86,38963.43,40951.43,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Syracuse,SYRACUSE,330203,CROUSE HOSPITAL,NY,736 IRVING AVENUE,13210,14
104,304010.12,64757.79,69034.38,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,34
